prediction,actual_result,,,
DRAW/LOSE,WIN,0,,0.665467626
DRAW/LOSE,LOSE,1,,
DRAW/LOSE,DRAW,1,,
WIN,WIN,1,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,LOSE,1,,
WIN,WIN,1,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,LOSE,1,,
WIN,WIN,1,,
WIN,WIN,1,,
DRAW/LOSE,LOSE,1,,
WIN,DRAW,0,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,LOSE,1,,
WIN,DRAW,0,,
DRAW/LOSE,WIN,0,,
WIN,DRAW,0,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,LOSE,1,,
DRAW/LOSE,LOSE,1,,
WIN,LOSE,0,,
DRAW/LOSE,LOSE,1,,
DRAW/LOSE,LOSE,1,,
WIN,WIN,1,,
DRAW/LOSE,LOSE,1,,
WIN,LOSE,0,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,WIN,0,,
WIN,WIN,1,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,LOSE,1,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,DRAW,1,,
WIN,WIN,1,,
DRAW/LOSE,DRAW,1,,
WIN,WIN,1,,
DRAW/LOSE,LOSE,1,,
WIN,WIN,1,,
DRAW/LOSE,LOSE,1,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,LOSE,1,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,LOSE,1,,
WIN,WIN,1,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,WIN,0,,
WIN,WIN,1,,
DRAW/LOSE,LOSE,1,,
DRAW/LOSE,LOSE,1,,
DRAW/LOSE,DRAW,1,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,LOSE,1,,
WIN,WIN,1,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,WIN,0,,
WIN,WIN,1,,
DRAW/LOSE,LOSE,1,,
DRAW/LOSE,DRAW,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
DRAW/LOSE,LOSE,1,,
DRAW/LOSE,LOSE,1,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,DRAW,1,,
WIN,WIN,1,,
DRAW/LOSE,WIN,0,,
WIN,DRAW,0,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,LOSE,1,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,LOSE,1,,
WIN,WIN,1,,
DRAW/LOSE,WIN,0,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,DRAW,1,,
DRAW/LOSE,LOSE,1,,
