Season,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Notes
2019,1,Liverpool,28,26,1,1,64,20,44,79,53130,
2019,2,Man City,27,18,3,6,68,29,39,57,54219,
2019,3,Leicester,28,15,5,8,54,28,26,50,32057,
2019,4,Chelsea,28,13,6,9,47,39,8,45,40554,
2019,5,Man United,28,11,9,8,42,30,12,42,72686,
2019,6,Wolves,28,10,12,6,41,34,7,42,31351,
2019,7,Tottenham,28,11,7,10,46,39,7,40,59384,
2019,8,Sheffield United,27,10,10,7,29,25,4,40,30832,
2019,9,Burnley,28,11,5,12,33,39,-6,38,20243,
2019,10,Arsenal,27,8,13,6,39,36,3,37,60275,
2019,11,Everton,28,10,7,11,37,42,-5,37,39150,
2019,12,Crystal Palace,28,9,9,10,25,32,-7,36,25032,
2019,13,Southampton,28,10,4,14,35,51,-16,34,29645,
2019,14,Newcastle,28,8,8,12,24,41,-17,32,48248,
2019,15,Brighton,28,6,10,12,32,40,-8,28,30358,
2019,16,West Ham,28,7,6,15,35,49,-14,27,59925,
2019,17,Watford,28,6,9,13,27,43,-16,27,20837,
2019,18,Bournemouth,28,7,6,15,28,45,-17,27,10510,
2019,19,Aston Villa,27,7,4,16,34,52,-18,25,41661,
2019,20,Norwich,28,5,6,17,25,51,-26,21,27025,
